airmass,ra,dec,ifilter,depth,exposure,expnum,date_obs,pi,prop_id,instrument,obs_type,object,proc_type,prod_type
1.02,336.543075,-20.29865,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242016,2023-09-24T03:21:18.491159+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,339.0201917,-27.85963,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242028,2023-09-24T03:41:23.972236+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1,339.0456,-24.71269,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242009,2023-09-24T03:09:36.839724+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.14,338.3330083,-32.75529,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242083,2023-09-24T05:22:21.214422+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.14,342.8642708,-30.60458,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242092,2023-09-24T05:36:34.941366+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.2,337.2320083,-21.415,i DECam SDSS c0003 7835.0 1470.0,22.9,60,1241651,2023-09-23T00:42:10.318259+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.16,336.2540083,-23.044,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241657,2023-09-23T00:52:11.495441+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.11,334.449,-23.172,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241665,2023-09-23T01:05:54.379306+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.06,337.7942708,-13.672,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241714,2023-09-23T02:26:50.120927+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.09,336.6270167,-16.843,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241687,2023-09-23T01:42:31.520621+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.06,339.571275,-13.568,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241715,2023-09-23T02:28:18.484371+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.25,334.5594,-23.53886,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241923,2023-09-24T00:08:41.064084+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.32,339.0456,-24.71269,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241922,2023-09-24T00:06:46.622317+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.2,336.543075,-20.29865,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241931,2023-09-24T00:37:12.883329+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.27,342.8355458,-21.26945,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241933,2023-09-24T00:41:27.780345+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.05,336.3182417,-30.894,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241961,2023-09-24T01:37:21.262250+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.1,342.6970958,-27.42709,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241958,2023-09-24T01:30:59.916962+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.17,342.9985333,-18.2689,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241951,2023-09-24T01:17:21.891464+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.03,333.482325,-31.51945,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241965,2023-09-24T01:44:42.109378+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.01,337.2204458,-24.88522,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241998,2023-09-24T02:52:24.202964+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.01,338.1883208,-23.2427,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241997,2023-09-24T02:50:56.104410+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.04,335.9577,-15.75236,i DECam SDSS c0003 7835.0 1470.0,22.9,80,1241991,2023-09-24T02:37:47.660315+0000,Palmese,2022B-715089,decam,object,S230922g,raw,image
1.01,336.2752792,-29.71671,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242029,2023-09-24T03:42:57.040425+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1,341.7681458,-25.97339,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242023,2023-09-24T03:33:09.711513+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.02,341.8325708,-29.1286,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242043,2023-09-24T04:06:22.391423+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.15,344.8504792,-18.11578,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242090,2023-09-24T05:33:03.296587+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.17,344.0050208,-16.71162,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242091,2023-09-24T05:34:33.170220+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.12,344.5682417,-24.0981,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242087,2023-09-24T05:28:31.804116+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.06,344.6440208,-17.745,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241716,2023-09-23T02:29:56.122572+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.06,344.3810083,-23.793,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241704,2023-09-23T02:09:55.227950+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.12,341.9930083,-16.465,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241689,2023-09-23T01:45:39.666370+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.02,335.2239917,-31.029,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241701,2023-09-23T02:04:56.278109+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.03,333.8640167,-18.551,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241709,2023-09-23T02:18:00.132041+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
1.02,343.69215,-22.68581,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242045,2023-09-24T04:09:28.908837+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.07,333.5744417,-25.17077,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242052,2023-09-24T04:20:21.838188+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.06,331.7466,-25.28178,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242041,2023-09-24T04:03:06.991899+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.03,335.747025,-18.82157,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1242021,2023-09-24T03:29:51.187911+0000,Palmese,2022B-715089,decam,object,S230922g 86,raw,image
1.1,340.716,-27.348,g DECam SDSS c0001 4720.0 1520.0,22.9,60,1241680,2023-09-23T01:30:40.329558+0000,Palmese,2022B-715089,decam,object,S230922g 3013919,raw,image
