Transient,Remarks,AT_Type
T202309242236583m195850,,
T202309242253597m283415,,
T202309242214437m251155,,
T202309242215222m213201,,
T202309242303053m224753,,
T202309232231038m221956,,
T202309242242259m162742,,
T202309242248369m282948,,
T202309232234089m265419,,
T202309242241426m254812,,
T202309242249427m233760,,
T202309242204205m244117,,
T202309242238228m280906,,
T202309242255118m171653,,
T202309242258081m201140,,
T202309242255347m194843,,
T202309242211086m242757,,
T202309242204151m282710,,
T202309242243503m291048,,
T202309242247554m140641,,
T202309242301252m213420,,
T202309242255417m212223,,
T202309242238312m270106,,
T202309242239217m274454,,
T202309242213301m225347,,
T202309242211023m204742,,
T202309242218380m214053,,
T202309242222015m293019,,
T202309242234539m302931,,
T202309242216314m241917,,
T202309242219568m250152,,
T202309242214293m263743,,
T202309242223175m295538,,
T202309232230442m221728,,
T202309242255504m172656,,
T202309242227531m301335,,
T202309232230060m220051,,
T202309242218203m174608,,
