col1,Unnamed: 0,TILEID,RA,DEC,desu,desg,desr,desi,desz,desy,clus_id,delve_passno,isdelve
,,,124.40323333333332,-33.598,,,,,,,,,
,,,118.64923333333333,-33.752,,,,,,,,,
,,,118.64923333333333,-33.752,,,,,,,,,
,,,120.77522916666666,-34.281,,,,,,,,,
,,,120.77522916666666,-34.281,,,,,,,,,
,,,122.91223333333333,-34.772,,,,,,,,,
,,,122.91223333333333,-34.772,,,,,,,,,
,,,119.22422916666666,-35.385,,,,,,,,,
,,,119.22422916666666,-35.385,,,,,,,,,
,,,121.38422916666664,-35.915,,,,,,,,,
,,,121.38422916666664,-35.915,,,,,,,,,
,,,119.82121666666664,-37.029,,,,,,,,,
,,,119.82121666666664,-37.029,,,,,,,,,
25070,14417,DELVE-14418-1,125.63099999999996,-22.043,false,true,false,false,false,false,21882,1,true
25091,14438,DELVE-14439-1,127.56100000000004,-22.333,false,true,false,false,false,false,21949,1,true
25090,14437,DELVE-14438-1,126.20100000000002,-23.594,false,true,false,false,false,false,43582,1,true
25112,14459,DELVE-14460-1,128.14800000000002,-23.884,false,true,false,false,false,false,21852,1,true
25111,14458,DELVE-14459-1,126.78700000000003,-25.154,false,true,false,false,false,false,21708,1,true
25133,14480,DELVE-14481-1,127.39100000000002,-26.723,false,true,false,false,false,false,22038,1,true
25132,14479,DELVE-14480-1,126.00400000000002,-27.97,false,true,false,false,false,false,31055,1,true
25151,14498,DELVE-14499-1,126.627,-29.558,false,true,false,false,false,false,31211,1,true
