,RA_template0_exposure,DEC_template0_exposure
0,8:36:20.26,-16:40:50.4
1,8:16:00.83,-17:25:55.1
2,8:38:34.95,-18:12:21.7
3,8:33:18.32,-19:30:35.5
4,8:27:56.70,-20:47:30.1
5,8:19:09.78,-23:25:51.0
6,07:55:42.604,-23:33:43.200
7,8:24:48.79,-23:35:51.0
8,8:03:32.76,-24:01:33.5
9,8:03:32.76,-24:01:33.5
10,8:05:42.84,-25:36:04.0
11,7:51:57.84,-26:13:39.2
12,7:51:57.84,-26:13:39.2
13,8:21:36.70,-26:23:43.4
14,8:04:23.96,-29:55:08.3
15,8:20:51.40,-30:46:52.8
16,8:23:26.35,-32:23:10.3
